ISO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,EVENT_DATE,YEAR,TIME_PRECISION,EVENT_TYPE,SUB_EVENT_TYPE,ACTOR1,ASSOC_ACTOR_1,INTER1,ACTOR2,ASSOC_ACTOR_2,INTER2,INTERACTION,REGION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,SOURCE_SCALE,NOTES,FATALITIES,TIMESTAMP
204,BEN139,139,20170515,2017,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Plateau,Ketou,,Idigny,7.481,2.693,1,Agence Benin Press,National,"Transhumant Fulani herders aggressed local civilians within the context of land sharing between farmers and herders: six dead and several wounded in two attacks, on Monday and on Satudray",3,1561468964
204,BEN140,140,20170520,2017,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Plateau,Ketou,,Idigny,7.481,2.693,1,Agence Benin Press,National,"Transhumant Fulani herders aggressed local civilians: six dead and several wounded in two attacks, on Monday and on Satudray",3,1561468964
204,BEN141,141,20170608,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,RFI,International,CHNU (University medical centre) personnel demonstrated against the privatisation plan of the centre.,0,1552576886
204,BEN142,142,20170622,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,RFI; Xinhua,International,Over a thousand people took to the streets of Benin's economic capital to protest against President Patrice Talon amid growing unease with his government's economic reforms. A coalition of opposition parties and civil activists led the rally. On the same day harbour workers launched a two-day strike against the government's move to privatise port management.,0,1561468964
204,BEN144,144,20170916,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP,International,"Hundreds of persons took the street to protest against the FCFA in Cotonou, Dakar and Bamako.",0,1552576757
204,BEN146,146,20171004,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Donga,Copargo,,Kopargo,9.841,1.542,1,Agence Benin Press,National,Primary school teachers went to the streets claiming their bonus.,0,1561468964
204,BEN147,147,20171010,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Collines,Bante,,Bante,8.413,1.892,1,Agence Benin Press,National,Bante public agents went on strike and set up a demonstration to protest bad economic conditions and mismanagement.,0,1561468964
204,BEN148,148,20171011,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Couffo,Djakotomey,,Aplahoue,6.933,1.683,1,Agence Benin Press,National,Hundreds of teachers organised a sit-in to protest the delay of bonus payments.,0,1561468964
204,BEN149,149,20171013,2017,1,Protests,Peaceful protest,Protesters (Benin),FSP: Front for the Patriotic Awakening,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP,International,Hundreds of protesters gathered to demonstrate against President Talon's regime.,0,1552576749
204,BEN150,150,20171018,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Mono,Lokossa,,Lokossa,6.63,1.72,1,Agence Benin Press,National,"Justice workers went on a 48-hours strike and gathered in the court building, asking for the better work conditions.",0,1561468964
204,BEN151,151,20171020,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,AFP,International,"Thousands of people took to the streets of Benin's commercial capital Cotonou on Friday to protest against President Patrice Talon's economic reforms and the high cost of living. One of the organisers said ""more than 10,000"" people turned out for the march to the trades union congress building. No official figure was immediately available.",0,1552576747
204,BEN152,152,20171024,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Couffo,Djakotomey,,Aplahoue,6.933,1.683,1,Agence Benin Press,National,Primary school teachers went to the street to claim the payment of their primes.,0,1561468964
204,BEN153,153,20171103,2017,1,Protests,Protest with intervention,Protesters (Benin),FSP: Front for the Patriotic Awakening,6,Police Forces of Benin (2016-),,1,16,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Xinhua,International,"Thousands of activists of the Front for the Patriotic Awakening, went down in the street of Cotonou, the economic capital of Benin, to demand the improvement of living conditions of the Beninois.",0,1552576743
204,BEN154,154,20171122,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Xinhua,International,Activists protested against the auction of African migrants present on the Libyan territory through a peaceful march.,0,1561468964
204,BEN155,155,20171127,2017,1,Protests,Peaceful protest,Protesters (Benin),,6,,,0,60,Western Africa,Benin,Littoral,Cotonou,,Cotonou,6.35,2.433,1,Xinhua,International,"Several hundred workers in public and private administrations, led by the secretary general's of Benin's seven trade unions and confederations, observed a sit-in at the Beninese Ministry of the Environment and Sustainable Development in Cotonou, demanding the immediate cessation of proceedings against the Acting Secretary General for Waters, Forests and Hunting, Captain Patrice Trekpo.",0,1552576736
204,BEN157,157,20171205,2017,1,Protests,Protest with intervention,Protesters (Benin),,6,Police Forces of Benin (2016-),,1,16,Western Africa,Benin,Zou,Cove,,Cove,7.221,2.34,1,Agence Benin Press,National,Security forces dispersed a movement of the population that descended on the streets in Cove to protest against the early start of transhumance in the Agonlin region.,0,1561468964
204,BEN159,159,20171227,2017,1,Violence against civilians,Attack,Fulani Ethnic Militia (Benin),Pastoralists (Benin),4,Civilians (Benin),,7,47,Western Africa,Benin,Plateau,Ketou,,Adakplame,7.454,2.547,2,Agence Benin Press,National,"An attack perpetrated by transhumant Fulani in Kinho, a hamlet in the district of Adakplame, commune of Ketou, resulted in a death and several wounded. According to reports, transhumant herdsmen stormed the town of Kinho around 9 pm, killing a man and wounding several others.",1,1561468964
